site_id,PM25,n_observed_days,longitude,latitude,PPTN,Tmin,Tmax,WS,RH,TCDC,sample_status
01-003-0010,8.707407407407407,27,-87.880258,30.497478,70.95777977837457,3.9892222974035474,16.939445739322238,4.098246765136719,80.59039620293511,32.90138897365994,public_source_reconstruction_pending_author_sample_comparison
01-027-0001,8.751724137931033,29,-85.803608,33.284928,114.5916631910536,-0.028555706474516128,14.343777815500895,2.9967875454160904,76.29551654391818,37.2250001695421,public_source_reconstruction_pending_author_sample_comparison
01-033-1002,9.244444444444444,27,-87.638097,34.762619,112.65944629245334,-0.5647777590486739,11.660555018319023,3.210913234286838,78.10089721679688,44.84027803209093,public_source_reconstruction_pending_author_sample_comparison
01-049-1003,10.060714285714285,28,-85.969858,34.288567,98.18082665337457,0.3903329663806491,10.997778373294407,3.137105690108405,77.95367643568251,41.07083324856228,public_source_reconstruction_pending_author_sample_comparison
01-055-0010,10.186206896551724,29,-85.992556,33.98821,100.05055914984808,1.1600000606642829,13.649222130245633,3.075250906414456,75.95983827379015,40.843055216471356,public_source_reconstruction_pending_author_sample_comparison
01-069-0003,10.26896551724138,29,-85.390789,31.224783,109.21166356404622,3.909444906314214,16.276000637478298,3.312199028333028,76.11035953097873,35.39583273993598,public_source_reconstruction_pending_author_sample_comparison
01-073-0023,12.461627906976744,86,-86.815,33.553056,107.74388520982531,0.6710000912348429,13.433222198486328,2.9481610404120553,76.6528091430664,37.30138821072049,public_source_reconstruction_pending_author_sample_comparison
01-073-1005,9.344827586206897,29,-87.003611,33.331111,99.24583375718859,1.1386668152279324,13.60444474750095,2.8987522575590345,78.36982328626844,38.9805541144477,public_source_reconstruction_pending_author_sample_comparison
01-073-1009,8.506896551724138,29,-87.305556,33.459722,159.3686125861274,1.2518891255060831,13.196999475691054,2.879281332757738,78.36982328626844,40.04999927944607,public_source_reconstruction_pending_author_sample_comparison
01-073-1010,9.406666666666666,15,-86.549167,33.545278,120.17472212049697,-0.007333252165052626,13.288999991946751,2.9822389682133994,76.6528091430664,37.30138821072049,public_source_reconstruction_pending_author_sample_comparison
01-073-2003,10.301149425287356,87,-86.924167,33.499722,103.11110432942708,0.9537778986824883,13.527333863576253,2.931586580806308,77.56426459418402,38.7722223493788,public_source_reconstruction_pending_author_sample_comparison
01-073-2006,9.53103448275862,29,-86.816667,33.386389,103.78389604356553,0.5872223006354438,13.206111611260308,2.9323333528306748,77.08666110568576,37.551389609442815,public_source_reconstruction_pending_author_sample_comparison
01-073-5002,8.874137931034484,29,-86.669167,33.704722,133.81638963487413,-0.24122213655047947,12.853667163848877,2.997637923558553,78.23692118326822,39.31249927944607,public_source_reconstruction_pending_author_sample_comparison
01-073-5003,8.675862068965516,29,-86.9425,33.801667,115.07166256374784,0.3997778707080417,13.157000478108724,2.978207876947191,78.23692118326822,40.36805614895291,public_source_reconstruction_pending_author_sample_comparison
01-089-0014,9.935714285714285,28,-86.58816,34.68547,104.74999584621854,-0.7898888965447743,11.82155474556817,3.206486609246996,79.35133429633247,43.81805534362793,public_source_reconstruction_pending_author_sample_comparison
01-097-0003,9.182142857142859,28,-88.087761,30.770181,77.8030519273546,4.788111413849725,16.93922150929769,3.4775299787521363,81.17468287150065,31.400000360276962,public_source_reconstruction_pending_author_sample_comparison
01-097-2005,7.3478260869565215,23,-88.141022,30.474305,67.51277809143066,4.9369998613993324,15.738444497850207,4.068183655209012,81.02659445868598,37.69999995761447,public_source_reconstruction_pending_author_sample_comparison
01-101-1002,10.007142857142856,28,-86.263394,32.412811,82.47555160522461,1.455999994277954,14.88877730899387,2.889652302530077,77.75080990261502,36.333333333333336,public_source_reconstruction_pending_author_sample_comparison
01-103-0011,8.975862068965517,29,-86.967536,34.530717,101.37972895304362,-1.0151111510064867,11.78366633521186,3.164081001281738,77.67303415934245,43.180555767483185,public_source_reconstruction_pending_author_sample_comparison
01-113-0001,12.479310344827587,29,-85.005028,32.472136,106.58305587768555,1.0105556077427333,15.138887479570176,2.914227697584364,74.93866017659505,37.399999915228946,public_source_reconstruction_pending_author_sample_comparison
