"dataset","generator","pi_s","range_fraction","draws","n_sites","expected_snr","expected_pi_s","expected_total_variance","mean_realized_total_variance","mcse_realized_total_variance","required_draws_for_2pct_variance_mcse","covariance_relative_mc_error","required_draws_for_20pct_covariance_relative_error","covariance_max_diagonal_relative_error","expected_moran_covariance_ratio","mean_realized_moran","mcse_realized_moran","max_abs_covariate_field_correlation_mean"
"georgia","polynomial",0.1,0.1,3000,106,3,0.1,2.6571131894318,2.66034407969744,0.00680961213718519,50,0.185483837945388,2581,0.0733767598867867,0.0384301409846178,0.0376990335066997,0.00128405466633032,0.125094746707087
"georgia","polynomial",0.1,0.3,3000,106,3,0.1,2.6571131894318,2.6576743214103,0.00736872011880993,58,0.164394885100098,2027,0.0591332613634787,0.147323359353122,0.140513491254548,0.00163576956411117,0.132908062493293
"georgia","polynomial",0.2,0.1,3000,106,3,0.2,2.6571131894318,2.6609245801271,0.00715869556822596,55,0.180231188491281,2437,0.0682151899791397,0.0983725791201519,0.0964500435043829,0.00134976755891118,0.129732722453862
"georgia","polynomial",0.2,0.3,3000,106,3,0.2,2.6571131894318,2.65872867645265,0.00966148426200765,100,0.119325378389704,1068,0.0786994238198665,0.343382320449287,0.327083176038064,0.00195058833168995,0.145578850663809
"georgia","forest",0.1,0.1,3000,106,3,0.1,2.72640989906426,2.73152145561938,0.00675883624486587,47,0.185498961435107,2581,0.0769317922339113,0.0384301409846178,0.0370258255610958,0.00124653495930661,0.126360913253662
"georgia","forest",0.1,0.3,3000,106,3,0.1,2.72640989906426,2.72334716581539,0.00756686342886262,58,0.161999485811639,1969,0.067278113141431,0.147323359353122,0.141274407173147,0.00162382428810347,0.134175940864093
"georgia","forest",0.2,0.1,3000,106,3,0.2,2.72640989906426,2.7271622336037,0.0070974134749314,51,0.181874301787804,2481,0.0627091858018798,0.0983725791201519,0.0949338982245773,0.00139472833924801,0.130462194133533
"georgia","forest",0.2,0.3,3000,106,3,0.2,2.72640989906426,2.72685136730439,0.010293032217252,107,0.116799273617931,1024,0.0565709965245742,0.343382320449287,0.329119187098886,0.00198151373327875,0.145552594464528
"meuse","polynomial",0.1,0.1,3000,102,3,0.1,0.175556775211251,0.174863162214421,0.000466042109461024,53,0.175978272161384,2323,0.0680469331164803,0.0829029388251444,0.0810525131042911,0.00140945269093601,0.141094442888115
"meuse","polynomial",0.1,0.3,3000,102,3,0.1,0.175556775211251,0.175410648203959,0.000534309891687122,70,0.143063448592656,1536,0.079832991028905,0.188003100188845,0.178973266778014,0.00190689412846846,0.164758697500461
"meuse","polynomial",0.2,0.1,3000,102,3,0.2,0.175556775211251,0.175783767421608,0.000525903903023663,68,0.163277966048252,2000,0.0818743672226187,0.198907849980337,0.192438189798389,0.00167086875286327,0.159967652456135
"meuse","polynomial",0.2,0.3,3000,102,3,0.2,0.175556775211251,0.174914227473034,0.000829674814351742,168,0.0906241260915742,616,0.0626007082458187,0.435383213048664,0.410987873727117,0.00225478855345985,0.209663476937903
"meuse","forest",0.1,0.1,3000,102,3,0.1,0.135092816827503,0.135298020860067,0.000369846909915275,57,0.179456006835096,2416,0.0901741387084861,0.0829029388251444,0.0812387167696281,0.00142621104012676,0.141954556707096
"meuse","forest",0.1,0.3,3000,102,3,0.1,0.135092816827503,0.135255183626478,0.00042069795417245,73,0.142939231998288,1533,0.0626565089874845,0.188003100188845,0.180117218565525,0.0019085485824659,0.169718256818142
"meuse","forest",0.2,0.1,3000,102,3,0.2,0.135092816827503,0.135790581299555,0.000415383088249351,71,0.160964298612323,1944,0.0862639968124886,0.198907849980337,0.193687997512598,0.00167873161268177,0.160959575703159
"meuse","forest",0.2,0.3,3000,102,3,0.2,0.135092816827503,0.134759276814204,0.000625662463298364,161,0.0927438249524189,646,0.0613658904381141,0.435383213048664,0.410117472722568,0.00226834493450325,0.209314358437658
