"dataset","generator","task","fold","method","draws","failed","nmse_mean","coverage_90pct","mean_width_90pct","error"
"georgia","forest","geographic_transfer",1,"forest",30,FALSE,0.173262796096458,0.371428571428571,1.33192267438919,""
"georgia","forest","geographic_transfer",2,"linear",30,FALSE,0.242907291248501,0.542857142857143,1.61093574883557,""
"georgia","forest","geographic_transfer",2,"polynomial",30,FALSE,0.29858749816965,0.428571428571429,1.46449478558346,""
"georgia","forest","geographic_transfer",2,"gam_covariates",30,FALSE,0.206838934962893,0.457142857142857,1.34477312723639,""
"georgia","forest","geographic_transfer",2,"gam_spatial",30,FALSE,0.197698557989437,0.342857142857143,1.00836027607331,""
"georgia","forest","geographic_transfer",2,"forest",30,FALSE,0.154343952365524,0.542857142857143,1.5667369979949,""
"georgia","forest","geographic_transfer",3,"linear",30,FALSE,0.261522120989178,0.472222222222222,1.58855432041725,""
"georgia","forest","geographic_transfer",3,"polynomial",30,FALSE,0.185204227234322,0.416666666666667,1.2600194362237,""
"georgia","forest","geographic_transfer",3,"gam_covariates",30,FALSE,0.306368310478389,0.472222222222222,1.3337878709277,""
"georgia","forest","geographic_transfer",3,"gam_spatial",30,FALSE,0.32021020029912,0.25,0.751819460383122,""
"georgia","forest","geographic_transfer",3,"forest",30,FALSE,0.143992766670569,0.527777777777778,1.5015236177436,""
"meuse","polynomial","known_network",1,"linear",30,FALSE,0.266672234576528,0.235294117647059,0.261016231965711,""
"meuse","polynomial","known_network",1,"polynomial",30,FALSE,0.230502945821472,0.176470588235294,0.272747871937922,""
"meuse","polynomial","known_network",1,"gam_covariates",30,FALSE,0.2684505939762,0.205882352941176,0.195579213769447,""
"meuse","polynomial","known_network",1,"gam_spatial",30,FALSE,0.246135860995276,0.264705882352941,0.215123973490482,""
"meuse","polynomial","known_network",1,"forest",30,FALSE,0.360675023496509,0.205882352941176,0.303263111722145,""
"meuse","polynomial","known_network",2,"linear",30,FALSE,0.143399522498125,0.5,0.330624028678141,""
"meuse","polynomial","known_network",2,"polynomial",30,FALSE,0.106332107636771,0.558823529411765,0.415512911556024,""
"meuse","polynomial","known_network",2,"gam_covariates",30,FALSE,0.172443942278856,0.411764705882353,0.39559925223684,""
"meuse","polynomial","known_network",2,"gam_spatial",30,FALSE,0.176594455097935,0.441176470588235,0.336809940184994,""
"meuse","polynomial","known_network",2,"forest",30,FALSE,0.208829574451488,0.441176470588235,0.292741593360307,""
"meuse","polynomial","known_network",3,"linear",30,FALSE,0.202012473379004,0.147058823529412,0.205762825848394,""
"meuse","polynomial","known_network",3,"polynomial",30,FALSE,0.126678896826114,0.205882352941176,0.199465782829615,""
"meuse","polynomial","known_network",3,"gam_covariates",30,FALSE,0.156076231078814,0.205882352941176,0.20324014898508,""
"meuse","polynomial","known_network",3,"gam_spatial",30,FALSE,0.13076578284722,0.441176470588235,0.281093238919599,""
"meuse","polynomial","known_network",3,"forest",30,FALSE,0.222404170337179,0.235294117647059,0.233640320608236,""
"meuse","polynomial","geographic_transfer",1,"linear",30,FALSE,0.358402309979658,0.205882352941176,0.219629937982678,""
"meuse","polynomial","geographic_transfer",1,"polynomial",30,FALSE,0.319135677356225,0.323529411764706,0.238499362622087,""
"meuse","polynomial","geographic_transfer",1,"gam_covariates",30,FALSE,0.312633218918255,0.0294117647058824,0.145731401861014,""
"meuse","polynomial","geographic_transfer",1,"gam_spatial",30,FALSE,0.291754531458002,0.147058823529412,0.163487519986959,""
"meuse","polynomial","geographic_transfer",1,"forest",30,FALSE,0.365481234878294,0.264705882352941,0.295274137710055,""
"meuse","polynomial","geographic_transfer",2,"linear",30,FALSE,0.190061868608765,0.470588235294118,0.534091224648381,""
"meuse","polynomial","geographic_transfer",2,"polynomial",30,FALSE,0.170594201394842,0.647058823529412,0.549686257420354,""
"meuse","polynomial","geographic_transfer",2,"gam_covariates",30,FALSE,0.251473726890002,0.382352941176471,0.499271855527899,""
"meuse","polynomial","geographic_transfer",2,"gam_spatial",30,FALSE,0.235932095453089,0.382352941176471,0.447713728687959,""
"meuse","polynomial","geographic_transfer",2,"forest",30,FALSE,0.27309995472283,0.441176470588235,0.424304457533432,""
"meuse","polynomial","geographic_transfer",3,"linear",30,FALSE,0.185206113592052,0.5,0.481504020912883,""
"meuse","polynomial","geographic_transfer",3,"polynomial",30,FALSE,0.118347326093998,0.558823529411765,0.439156281089429,""
"meuse","polynomial","geographic_transfer",3,"gam_covariates",30,FALSE,0.156473617757035,0.323529411764706,0.355715747620316,""
"meuse","polynomial","geographic_transfer",3,"gam_spatial",30,FALSE,0.137627883089978,0.441176470588235,0.361335083983462,""
"meuse","polynomial","geographic_transfer",3,"forest",30,FALSE,0.206471014678651,0.352941176470588,0.328627965870916,""
"meuse","forest","known_network",1,"linear",30,FALSE,0.125331067150021,0.617647058823529,0.414662070222464,""
"meuse","forest","known_network",1,"polynomial",30,FALSE,0.110489074460023,0.558823529411765,0.407795757600504,""
"meuse","forest","known_network",1,"gam_covariates",30,FALSE,0.12625044479522,0.647058823529412,0.486304159537479,""
"meuse","forest","known_network",1,"gam_spatial",30,FALSE,0.129392281601647,0.705882352941177,0.487469431508211,""
"meuse","forest","known_network",1,"forest",30,FALSE,0.1309634560192,0.5,0.254896359177615,""
"meuse","forest","known_network",2,"linear",30,FALSE,0.280259805089854,0.352941176470588,0.230604922447529,""
"meuse","forest","known_network",2,"polynomial",30,FALSE,0.204609724003546,0.294117647058824,0.296208585894307,""
"meuse","forest","known_network",2,"gam_covariates",30,FALSE,0.304453997242263,0.382352941176471,0.328933265208838,""
