"dataset","bandwidth","rmse","n_rmse","mae","n_mae","n_ok","tuning_method","kernels"
"nyc_education",30,9527.27854648664,3,7271.25118465473,3,3,"tune_grid","gauss"
"nyc_education",20,9553.71665566889,3,7356.06136228097,3,3,"tune_grid","gauss"
"nyc_education",40,9628.09760939045,3,7304.90743920815,3,3,"tune_grid","gauss"
"nyc_education",10,10104.7952807555,3,7708.71969999393,3,3,"tune_grid","gauss"
"nyc_education",40,10632.1443660294,3,8152.71127602257,3,3,"tune_grid","bisq"
"nyc_education",30,11227.5860674408,3,8378.92276039754,3,3,"tune_grid","bisq"
"nyc_education",20,12169.4256149129,3,8689.91628301895,3,3,"tune_grid","bisq"
"nyc_education",10,13610.5715581859,3,9816.57291574204,3,3,"tune_grid","bisq"
