"dataset","bandwidth","rmse","n_rmse","mae","n_mae","n_ok","tuning_method","kernels"
"georgia",30,3.14021322187927,3,2.5360438845167,3,3,"tune_grid","gauss"
"georgia",40,3.168300568891,3,2.57195131343208,3,3,"tune_grid","gauss"
"georgia",20,3.18080713681957,3,2.57916125361174,3,3,"tune_grid","gauss"
"georgia",10,3.34846898756419,3,2.73924106550441,3,3,"tune_grid","gauss"
"georgia",40,3.56753623501508,3,2.92878953235248,3,3,"tune_grid","bisq"
"georgia",30,3.73458704280624,3,3.01768728299519,3,3,"tune_grid","bisq"
"georgia",20,4.33821203326604,3,3.39035977387755,3,3,"tune_grid","bisq"
"georgia",10,4.70852421978707,3,3.53614030758922,3,3,"tune_grid","bisq"
