"dataset","mstop","rmse","n_rmse","mae","n_mae","n_ok","tuning_method","rho_hat","moran_i","d_rho","moran_drop_ratio","regime"
"lasrosas",400,9.83657022554107,20,7.22490034574354,20,20,"tune_grid",NA,NA,NA,NA,"tune_grid_rmse"
"lasrosas",300,9.89002095620053,20,7.25840653135095,20,20,"tune_grid",NA,NA,NA,NA,"tune_grid_rmse"
"lasrosas",200,9.94899218096379,20,7.29727527322022,20,20,"tune_grid",NA,NA,NA,NA,"tune_grid_rmse"
"lasrosas",100,10.0147075348557,20,7.34509072457062,20,20,"tune_grid",NA,NA,NA,NA,"tune_grid_rmse"
"lasrosas",50,10.0602277950184,20,7.38088096186208,20,20,"tune_grid",NA,NA,NA,NA,"tune_grid_rmse"
