"dataset","bandwidth","rmse","n_rmse","mae","n_mae","n_ok","tuning_method","kernels"
"lasrosas",40,9.75300489640105,20,7.05630252871594,20,20,"tune_grid","bisq"
"lasrosas",10,9.7972197725285,20,7.26376783283856,20,20,"tune_grid","gauss"
"lasrosas",20,10.0018236293303,20,7.61980080650745,20,20,"tune_grid","gauss"
"lasrosas",30,10.0088181062849,20,7.10284335935189,20,20,"tune_grid","bisq"
"lasrosas",30,10.1678408290629,20,7.84432365612737,20,20,"tune_grid","gauss"
"lasrosas",20,10.3475066794797,20,7.23578266962517,20,20,"tune_grid","bisq"
"lasrosas",40,10.357501814506,20,8.07201189900343,20,20,"tune_grid","gauss"
"lasrosas",10,11.522182815977,20,7.73762800698497,20,20,"tune_grid","bisq"
