"contrast","dataset","generator","context","method","repetitions","difference","mcse"
"density_70_minus_20","georgia","polynomial","geographic_transfer","gam_spatial",160,0.00210334344288034,0.00247751031593307
"density_70_minus_20","meuse","polynomial","geographic_transfer","gam_spatial",160,0.0282226644705435,0.00803536300375514
"density_70_minus_20","georgia","forest","known_network","gam_spatial",160,0.0230530628357221,0.00409862786543708
"density_70_minus_20","meuse","forest","known_network","gam_spatial",160,-0.033447151563501,0.00798118757150909
"density_70_minus_20","georgia","polynomial","known_network","gam_spatial",160,-0.0359219584576917,0.00260729227691363
"density_70_minus_20","meuse","polynomial","known_network","gam_spatial",160,-0.107026160382064,0.00976608402416191
"density_70_minus_20","georgia","forest","geographic_transfer","linear",160,-0.00247650216896583,0.00110704322687375
"density_70_minus_20","meuse","forest","geographic_transfer","linear",160,0.0135509144456256,0.0036728588287235
"density_70_minus_20","georgia","polynomial","geographic_transfer","linear",160,0.00621522739140684,0.00116758666592676
"density_70_minus_20","meuse","polynomial","geographic_transfer","linear",160,0.0769990662869657,0.00297415340623298
"density_70_minus_20","georgia","forest","known_network","linear",160,0.00928093613744882,0.00165118225547569
"density_70_minus_20","meuse","forest","known_network","linear",160,-0.0503268186308743,0.0025565506189159
"density_70_minus_20","georgia","polynomial","known_network","linear",160,-0.0501204137146948,0.0016639504097155
"density_70_minus_20","meuse","polynomial","known_network","linear",160,-0.13483031876,0.00426786868946193
"density_70_minus_20","georgia","forest","geographic_transfer","polynomial",160,-0.00557620395395145,0.00143115691646432
"density_70_minus_20","meuse","forest","geographic_transfer","polynomial",160,-0.00127288773949731,0.00483443058992965
"density_70_minus_20","georgia","polynomial","geographic_transfer","polynomial",160,0.00773214357779657,0.00118060925663795
"density_70_minus_20","meuse","polynomial","geographic_transfer","polynomial",160,0.0478978989646636,0.00412156973935262
"density_70_minus_20","georgia","forest","known_network","polynomial",160,-0.00554053332225412,0.00140587015826409
"density_70_minus_20","meuse","forest","known_network","polynomial",160,-0.02633326240544,0.00851418153454783
"density_70_minus_20","georgia","polynomial","known_network","polynomial",160,-0.0307069631280471,0.00103809157606625
"density_70_minus_20","meuse","polynomial","known_network","polynomial",160,-0.0695749034002347,0.00916990262604758
"noisy_minus_exact","georgia","forest","geographic_transfer","forest",160,-0.00240509239387955,0.00127587202191378
