"dataset","task","generator","networks","mean_z_rmse","mcse_z_rmse","mean_generator_z_only_hit_rate","mcse_hit_rate","mean_generator_nmse","mcse_generator_nmse"
"georgia","geographic_transfer","forest",2,1.15577174935285,0.017320111547502,0.541798941798942,0.0335978835978836,0.223720118569911,0.0305161384747399
"meuse","geographic_transfer","forest",2,1.38363431182102,0.00901622312676387,0.514705882352941,0.0343137254901961,0.223887538700967,0.00219634279174785
"georgia","known_network","forest",2,0.84282484466423,0.0470683411121628,0.73968253968254,0.00502645502645505,0.101668388570094,0.0202528921665905
"meuse","known_network","forest",2,0.7444339161786,0.000897887106168782,0.740196078431373,0.00490196078431371,0.0795651934392234,0.00186771107383977
"georgia","geographic_transfer","polynomial",2,1.15577174935285,0.017320111547502,0.621428571428571,0.0283068783068783,0.126213953110657,0.0172383445829766
"meuse","geographic_transfer","polynomial",2,1.38363431182102,0.00901622312676387,0.563725490196078,0.0147058823529412,0.340666393801529,0.035570372250874
"georgia","known_network","polynomial",2,0.84282484466423,0.0470683411121628,0.763624338624339,0.0287037037037037,0.0705674028705208,0.000218099433721336
"meuse","known_network","polynomial",2,0.7444339161786,0.000897887106168782,0.774509803921569,0,0.0854191914103805,0.0114254831989768
